"anime_title","anime_premiere","anime_release","anime_nextair","anime_img","anime_badge"
"Hentai Prince & the Stony Cat","4/13/2013 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/HPC/HPC_01_MASTER_300x169_v02.jpg",NA
"Hidamari Sketch","1/11/2007 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/HS/HS_01_MASTER_300x169.jpg",NA
"Hidamari Sketch Hoshimittsu","1/7/2010 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/HS/HS_03_MASTER_300x169.jpg",NA
"Hidamari Sketch x 365","7/3/2008 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/HS/HS_02_MASTER_300x169.jpg",NA
"Hidamari Sketch x Honeycomb","10/4/2012 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/HS/HS_04_MASTER_300x169.jpg",NA
"High School of the Dead","7/5/2010 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/HSO/HSO_MASTER_300x169.jpg","Dubbed"
"Hiiro no Kakera ~ The Tamayori Princess Saga","3/5/2012 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/HNK/HNK_MASTER_300x169.jpg","Dubbed"
"Hiiro no Kakera ~ The Tamayori Princess Saga 2","9/30/2012 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/HNK/HNK_02_MASTER_300x169.jpg","Dubbed"
"Himouto! Umaru-chan","7/8/2015 12:00:00 AM","7/8/2015 12:00:00 AM","","//static.hidive.com/titles/HUC/HUC_MASTER_300x169.jpg","Dubbed"
"Himouto! Umaru-chan R","10/8/2017 12:00:00 AM","10/6/2017 4:00:00 PM","","//static.hidive.com/titles/HUC/HUC_02_MASTER_300x169.jpg",NA
"Hitorijime My Hero","7/8/2017 12:00:00 AM","6/30/2017 5:00:00 PM","","//static.hidive.com/titles/HMH/hitorijime-my-hero_HMH_MASTER_300x169.jpg","Dubbed"
"Horizon in the Middle of Nowhere","10/1/2011 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/HZN/HZN_01_MASTER_300x169.jpg","Dubbed"
"Horizon In The Middle Of Nowhere II","7/7/2012 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/HZN/HZN_02_MASTER_300x169.jpg","Dubbed"
"How Clumsy you are, Miss Ueno.","1/6/2019 12:00:00 AM","1/3/2019 6:00:00 PM","","//static.hidive.com/titles/CMU/CMU_01_MASTER_300x169.jpg","Dubbed"
"Hozuki's Coolheadedness","1/10/2014 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/HZC/HZC_MASTER_300x169.jpg",NA
"Hozuki's Coolheadedness 2","10/7/2017 12:00:00 AM","10/5/2017 10:00:00 PM","","//static.hidive.com/titles/HZC/HZC_02_MASTER_300x169.jpg","Exclusive"
"Human Crossing","4/5/2003 12:00:00 AM","12/21/2018 6:00:00 PM","","//static.hidive.com/titles/HMC/HMC_01_MASTER_300x169.jpg","Dubbed"
"Humanity Has Declined","7/2/2012 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/HHD/HHD_MASTER_300x169.jpg",NA
"I Couldn't Become a Hero, So I Reluctantly Decided to Get a Job","10/4/2013 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/YSB/YSB_MASTER_300x169.jpg",NA
"Infinite Stratos","1/7/2011 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/IFS/IFS_MASTER_300x169.jpg","Dubbed"
"IRODUKU: The World in Colors","10/6/2018 12:00:00 AM","12/22/2021 2:00:00 PM","3/16/2022 5:00:00 PM","//static.hidive.com/titles/IWC/iroduku-the-world-in-colors_IWC_01_MASTER_300x169_01.jpg","E12 In 4 Days"
"Is It Wrong to Try to Pick Up Girls in a Dungeon?","4/4/2015 12:00:00 AM","4/4/2015 5:00:00 AM","","//static.hidive.com/titles/WPG/WPG_MASTER_300x169.jpg","Dubbed"
"Is It Wrong to Try to Pick Up Girls in a Dungeon? II","7/5/2019 12:00:00 AM","7/2/2019 4:00:00 PM","","//static.hidive.com/titles/WPG/Is-it-Wrong-to-Try-to-Pick-Up-Girls-in-a-Dungeon-II_WPG_02_MASTER_300x169_01.jpg","Dubbed"
"Is it Wrong to Try to Pick Up Girls in a Dungeon? III","10/2/2020 12:00:00 AM","9/23/2020 2:00:00 PM","","//static.hidive.com/titles/WPG/Is-it-Wrong-to-Try-to-Pick-Up-Girls-in-a-Dungeon-III_WPG_03_MASTER_300x169.jpg","Dubbed"
"Is the Order a Rabbit? - BLOOM Season 3","10/10/2020 12:00:00 AM","9/25/2020 5:00:00 PM","","//static.hidive.com/titles/IOR/Is-the-Order-a-Rabbit-BLOOM_IOR_03_MASTER_300x169_00.jpg",NA
"Is the Order a Rabbit?? Season 2","10/10/2015 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/IOR/IOR_02_MASTER_300x169.jpg",NA
"Joshiraku","7/5/2012 12:00:00 AM","9/30/2019 5:00:00 PM","","//static.hidive.com/titles/JHK/joshiraku_JHK_01_MASTER_300x169.jpg",NA
"Just Because!","10/5/2017 12:00:00 AM","10/5/2017 3:30:00 PM","","//static.hidive.com/titles/JTB/JTB_01_MASTER_300x169.jpg","Dubbed"
"Kabukibu!","4/6/2017 12:00:00 AM","4/1/2017 12:00:00 AM","","//static.hidive.com/titles/KBB/KBB_01_MASTER_300x169.jpg",NA
